"province","zone_sante","n_alertes","alertes_7j","alertes_30j","n_confirmes","n_deces","derniere_alerte","score_criticite","priorite"
"it Ituri Province","It Balazana Aire De Santé",2,1,2,1,0,"2026-06-23",10,"MODÉRÉE"
"it Ituri Province","It Rimba Aire De Santé",5,0,5,1,0,"2026-06-14",10,"MODÉRÉE"
"nk Nord Kivu Province","Nk Kyangendi Aire De Santé",7,1,7,0,0,"2026-06-23",10,"MODÉRÉE"
"it Ituri Province","It Biringi Aire De Santé",3,2,3,0,0,"2026-06-23",9,"MODÉRÉE"
"it Ituri Province","It Mandro Aire De Santé",1,1,1,1,0,"2026-06-22",9,"MODÉRÉE"
"it Ituri Province","It Masikini Aire De Santé",1,1,1,1,0,"2026-06-21",9,"MODÉRÉE"
"it Ituri Province","It Ndjanga Aire De Santé",1,1,1,1,0,"2026-06-20",9,"MODÉRÉE"
"it Ituri Province","It Ondolea Aire De Santé",3,2,3,0,0,"2026-06-23",9,"MODÉRÉE"
"it Ituri Province","It Rabu Aire De Santé",4,0,4,1,0,"2026-06-16",9,"MODÉRÉE"
"it Ituri Province","It Toly Toly Aire De Santé",3,2,3,0,0,"2026-06-20",9,"MODÉRÉE"
"nk Nord Kivu Province","Nk Bukoroghoto Aire De Santé",3,2,3,0,0,"2026-06-20",9,"MODÉRÉE"
"nk Nord Kivu Province","Nk Heal Africa Aire De Santé",6,0,4,1,0,"2026-06-01",9,"MODÉRÉE"
"nk Nord Kivu Province","Nk Kasabinyole Aire De Santé",1,1,1,1,0,"2026-06-23",9,"MODÉRÉE"
"nk Nord Kivu Province","Nk Madrandele Aire De Santé",1,1,1,1,1,"2026-06-23",9,"MODÉRÉE"
"nk Nord Kivu Province","Nk Makasi Aire De Santé",4,0,4,1,2,"2026-06-12",9,"MODÉRÉE"
"nk Nord Kivu Province","Nk Ngilinga Aire De Santé",1,1,1,1,0,"2026-06-23",9,"MODÉRÉE"
"nk Nord Kivu Province","Nk Nzuma Aire De Santé",1,1,1,1,0,"2026-06-22",9,"MODÉRÉE"
"nk Nord Kivu Province","Nk Rwangoma Aire De Santé",1,1,1,1,0,"2026-06-23",9,"MODÉRÉE"
"it Ituri Province","It Azumba Aire De Santé",2,2,2,0,0,"2026-06-23",8,"MODÉRÉE"
"it Ituri Province","It Itendey Aire De Santé",8,0,3,1,0,"2026-06-14",8,"MODÉRÉE"
"it Ituri Province","It Kandoy Aire De Santé",2,2,2,0,0,"2026-06-23",8,"MODÉRÉE"
"it Ituri Province","It Lalo Aire De Santé",2,2,2,0,0,"2026-06-22",8,"MODÉRÉE"
"it Ituri Province","It Mahagi Anglican Aire De Santé",2,2,2,0,0,"2026-06-20",8,"MODÉRÉE"
"it Ituri Province","It Mbidjo Aire De Santé",3,0,3,1,0,"2026-06-13",8,"MODÉRÉE"
"it Ituri Province","It Mwanga Aire De Santé",3,0,3,1,0,"2026-06-13",8,"MODÉRÉE"
"it Ituri Province","It Thedeja Aire De Santé",3,0,3,1,0,"2026-06-14",8,"MODÉRÉE"
"it Ituri Province","It Tsinzi Aire De Santé",2,2,2,0,0,"2026-06-22",8,"MODÉRÉE"
"it Ituri Province","It Tumbiabo Aire De Santé",5,1,5,0,0,"2026-06-23",8,"MODÉRÉE"
"nk Nord Kivu Province","Nk Kasika Aire De Santé",2,2,2,0,0,"2026-06-21",8,"MODÉRÉE"
"nk Nord Kivu Province","Nk Kingarame Aire De Santé",2,2,2,0,0,"2026-06-18",8,"MODÉRÉE"
"nk Nord Kivu Province","Nk Muchanga Aire De Santé",8,0,8,0,0,"2026-06-08",8,"MODÉRÉE"
"sk Sud Kivu Province","Sk Buhandahanda Aire De Santé",2,2,2,0,0,"2026-06-21",8,"MODÉRÉE"
"it Ituri Province","It Bakonde Aire De Santé",2,0,2,1,0,"2026-06-15",7,"MODÉRÉE"
"it Ituri Province","It Kombokabo Aire De Santé",7,0,7,0,0,"2026-06-10",7,"MODÉRÉE"
"it Ituri Province","It Kunda Aire De Santé",3,0,2,1,0,"2026-06-10",7,"MODÉRÉE"
"it Ituri Province","It Nyangaray Aire De Santé",4,0,2,1,0,"2026-06-16",7,"MODÉRÉE"
"it Ituri Province","It Petsi Aire De Santé",2,0,2,1,0,"2026-06-13",7,"MODÉRÉE"
"nk Nord Kivu Province","Nk Kivika Aire De Santé",4,1,4,0,0,"2026-06-18",7,"MODÉRÉE"
"nk Nord Kivu Province","Nk Ngongolio Aire De Santé",2,0,2,1,2,"2026-06-16",7,"MODÉRÉE"
"it Ituri Province","It Ahologo Aire De Santé",1,0,1,1,0,"2026-05-31",6,"MODÉRÉE"
"it Ituri Province","It Bamande Aire De Santé",4,1,3,0,0,"2026-06-20",6,"MODÉRÉE"
"it Ituri Province","It Bayhana Aire De Santé",6,0,6,0,0,"2026-06-09",6,"MODÉRÉE"
"it Ituri Province","It Gamba Aire De Santé",2,0,1,1,0,"2026-06-03",6,"MODÉRÉE"
"it Ituri Province","It Kpanga Aire De Santé",1,0,1,1,0,"2026-06-13",6,"MODÉRÉE"
"it Ituri Province","It Loga Aire De Santé",1,0,1,1,0,"2026-06-06",6,"MODÉRÉE"
"it Ituri Province","It Luchay Aire De Santé",2,0,1,1,0,"2026-06-14",6,"MODÉRÉE"
"it Ituri Province","It Makayanga Aire De Santé",1,0,1,1,0,"2026-06-07",6,"MODÉRÉE"
"it Ituri Province","It Mandibe Aire De Santé",1,0,1,1,0,"2026-06-04",6,"MODÉRÉE"
"it Ituri Province","It Mutumbi Aire De Santé",1,0,1,1,0,"2026-06-15",6,"MODÉRÉE"
"it Ituri Province","It Nyaa Aire De Santé",1,0,1,1,0,"2026-05-27",6,"MODÉRÉE"
"it Ituri Province","It Nyamusasi Aire De Santé",5,1,3,0,0,"2026-06-19",6,"MODÉRÉE"
"it Ituri Province","It Panyabio Aire De Santé",1,0,1,1,0,"2026-06-02",6,"MODÉRÉE"
"it Ituri Province","It Zengo Aire De Santé",3,1,3,0,0,"2026-06-20",6,"MODÉRÉE"
"nk Nord Kivu Province","Nk Vutike Aire De Santé",1,0,1,1,0,"2026-06-15",6,"MODÉRÉE"
"it Ituri Province","It Adranga Aire De Santé",2,1,2,0,0,"2026-06-19",5,"MODÉRÉE"
"it Ituri Province","It Binase Aire De Santé",2,1,2,0,0,"2026-06-19",5,"MODÉRÉE"
"it Ituri Province","It Lonyo Aire De Santé",1,0,0,1,1,"2026-05-24",5,"MODÉRÉE"
"it Ituri Province","It Nyalebbe Aire De Santé",2,1,2,0,0,"2026-06-17",5,"MODÉRÉE"
"it Ituri Province","It Olongba Aire De Santé",2,1,2,0,0,"2026-06-18",5,"MODÉRÉE"
"ks Kasai Province","Ks Ingongo Aire De Santé",124,0,0,1,2,"2025-11-24",5,"MODÉRÉE"
