sitrep_no,indicator_code,domain,value,extraction_rule,value_source,source_type,priority
24,cases_ituri,cases,518,province_row_ituri,NA,NA,NA
24,cases_nordkivu,cases,738,province_row_nordkivu,NA,NA,NA
24,cases_sudkivu,cases,226,province_row_sudkivu,NA,NA,NA
24,cumulative_confirmed_cases,reference,550,INRB_reference,NA,NA,NA
24,cumulative_deaths,reference,101,INRB_reference,NA,NA,NA
24,deaths_ituri,deaths,454,province_row_ituri,NA,NA,NA
24,deaths_nordkivu,deaths,587,province_row_nordkivu,NA,NA,NA
24,deaths_sudkivu,deaths,224,province_row_sudkivu,NA,NA,NA
24,hz_affected_ituri,geography,17,hz_affected_ituri,NA,NA,NA
24,hz_affected_national,geography,25,total_row_cases_deaths_cfr_hz,NA,NA,NA
24,hz_affected_nordkivu,geography,7,hz_affected_nordkivu,NA,NA,NA
24,hz_affected_sudkivu,geography,1,hz_affected_sudkivu,NA,NA,NA
24,suspected_cases_investigation,reference,94,INRB_reference,NA,NA,NA
25,alerts_reported,surveillance,140,tbl_alerts_reported,NA,NA,NA
25,alerts_validated,surveillance,5,tbl_alerts_validated,NA,NA,NA
25,case_fatality_ratio,deaths,19.2,computed_from_INRB,NA,NA,NA
25,cases_ituri,cases,563,province_row_ituri,NA,NA,NA
25,cases_nordkivu,cases,703,province_row_nordkivu,NA,NA,NA
25,cases_sudkivu,cases,226,province_row_sudkivu,NA,NA,NA
25,cumulative_confirmed_cases,reference,598,INRB_reference,NA,NA,NA
25,cumulative_deaths,reference,115,INRB_reference,NA,NA,NA
25,deaths_ituri,deaths,752,province_row_ituri,NA,NA,NA
25,deaths_nordkivu,deaths,533,province_row_nordkivu,NA,NA,NA
25,deaths_sudkivu,deaths,181,province_row_sudkivu,NA,NA,NA
25,hz_affected_ituri,geography,17,hz_affected_ituri,NA,NA,NA
25,hz_affected_national,geography,25,total_row_cases_deaths_cfr_hz,NA,NA,NA
25,hz_affected_nordkivu,geography,7,hz_affected_nordkivu,NA,NA,NA
25,hz_affected_sudkivu,geography,1,hz_affected_sudkivu,NA,NA,NA
25,suspected_cases_investigation,reference,138,INRB_reference,NA,NA,NA
26,alerts_reported,surveillance,78,tbl_alerts_reported,NA,NA,NA
26,alerts_validated,surveillance,3,tbl_alerts_validated,NA,NA,NA
26,case_fatality_ratio,deaths,20,computed_from_INRB,NA,NA,NA
26,cases_ituri,cases,600,province_row_ituri,NA,NA,NA
26,cases_nordkivu,cases,841,province_row_nordkivu,NA,NA,NA
26,cases_sudkivu,cases,226,province_row_sudkivu,NA,NA,NA
26,cumulative_confirmed_cases,reference,635,INRB_reference,NA,NA,NA
26,cumulative_deaths,reference,127,INRB_reference,NA,NA,NA
26,deaths_ituri,deaths,955,province_row_ituri,NA,NA,NA
26,deaths_nordkivu,deaths,597,province_row_nordkivu,NA,NA,NA
26,deaths_sudkivu,deaths,222,province_row_sudkivu,NA,NA,NA
26,hz_affected_ituri,geography,18,hz_affected_ituri,NA,NA,NA
26,hz_affected_national,geography,26,total_row_cases_deaths_cfr_hz,NA,NA,NA
26,hz_affected_nordkivu,geography,7,hz_affected_nordkivu,NA,NA,NA
26,hz_affected_sudkivu,geography,1,hz_affected_sudkivu,NA,NA,NA
26,suspected_cases_investigation,reference,119,INRB_reference,NA,NA,NA
27,alerts_reported,surveillance,143,tbl_alerts_reported,NA,NA,NA
27,alerts_validated,surveillance,3,tbl_alerts_validated,NA,NA,NA
27,case_fatality_ratio,deaths,20.1,computed_from_INRB,NA,NA,NA
27,cases_ituri,cases,629,province_row_ituri,NA,NA,NA
27,cases_nordkivu,cases,841,province_row_nordkivu,NA,NA,NA
27,cases_sudkivu,cases,224,province_row_sudkivu,NA,NA,NA
27,cumulative_confirmed_cases,reference,676,INRB_reference,NA,NA,NA
27,cumulative_deaths,reference,136,INRB_reference,NA,NA,NA
27,deaths_ituri,deaths,703,province_row_ituri,NA,NA,NA
27,deaths_nordkivu,deaths,597,province_row_nordkivu,NA,NA,NA
27,deaths_sudkivu,deaths,187,province_row_sudkivu,NA,NA,NA
27,hz_affected_ituri,geography,19,hz_affected_ituri,NA,NA,NA
27,hz_affected_national,geography,29,total_row_cases_deaths_cfr_hz,NA,NA,NA
27,hz_affected_nordkivu,geography,9,hz_affected_nordkivu,NA,NA,NA
27,hz_affected_sudkivu,geography,1,hz_affected_sudkivu,NA,NA,NA
27,suspected_cases_investigation,reference,119,INRB_reference,NA,NA,NA
28,alerts_reported,surveillance,143,tbl_alerts_reported,NA,NA,NA
28,alerts_validated,surveillance,3,tbl_alerts_validated,NA,NA,NA
28,case_fatality_ratio,deaths,20.2,computed_from_INRB,NA,NA,NA
28,cases_ituri,cases,646,province_row_ituri,NA,NA,NA
28,cases_nordkivu,cases,1037,province_row_nordkivu,NA,NA,NA
28,cases_sudkivu,cases,224,province_row_sudkivu,NA,NA,NA
28,cumulative_confirmed_cases,reference,689,INRB_reference,NA,NA,NA
28,cumulative_deaths,reference,139,INRB_reference,NA,NA,NA
28,deaths_ituri,deaths,782,province_row_ituri,NA,NA,NA
28,deaths_nordkivu,deaths,700,province_row_nordkivu,NA,NA,NA
28,deaths_sudkivu,deaths,185,province_row_sudkivu,NA,NA,NA
28,hz_affected_ituri,geography,19,hz_affected_ituri,NA,NA,NA
28,hz_affected_national,geography,29,total_row_cases_deaths_cfr_hz,NA,NA,NA
28,hz_affected_nordkivu,geography,9,hz_affected_nordkivu,NA,NA,NA
28,hz_affected_sudkivu,geography,1,hz_affected_sudkivu,NA,NA,NA
28,suspected_cases_investigation,reference,168,INRB_reference,NA,NA,NA
30,alerts_reported,surveillance,152,tbl_alerts_reported,NA,NA,NA
30,alerts_validated,surveillance,2,tbl_alerts_validated,NA,NA,NA
30,case_fatality_ratio,deaths,23.1,computed_from_INRB,NA,NA,NA
30,cases_ituri,cases,717,province_row_ituri,NA,NA,NA
30,cases_nordkivu,cases,62,province_row_nordkivu,NA,NA,NA
30,cases_sudkivu,cases,80,province_row_sudkivu,NA,NA,NA
30,cumulative_confirmed_cases,reference,782,INRB_reference,NA,NA,NA
30,cumulative_deaths,reference,181,INRB_reference,NA,NA,NA
30,deaths_ituri,deaths,146,province_row_ituri,NA,NA,NA
30,deaths_nordkivu,deaths,130,province_row_nordkivu,NA,NA,NA
30,deaths_sudkivu,deaths,80,province_row_sudkivu,NA,NA,NA
30,hz_affected_ituri,geography,20,hz_affected_ituri,NA,NA,NA
30,hz_affected_national,geography,31,total_row_cases_deaths_cfr_hz,NA,NA,NA
30,hz_affected_nordkivu,geography,10,hz_affected_nordkivu,NA,NA,NA
30,hz_affected_sudkivu,geography,1,hz_affected_sudkivu,NA,NA,NA
30,samples_positive,laboratory,16,narr_samples_positive,NA,NA,NA
30,suspected_cases_investigation,reference,136,INRB_reference,NA,NA,NA
31,alerts_reported,surveillance,241,tbl_alerts_reported,NA,NA,NA
31,alerts_validated,surveillance,7,tbl_alerts_validated,NA,NA,NA
31,case_fatality_ratio,deaths,23.8,total_row_cases_deaths_cfr_hz,NA,NA,NA
31,cases_ituri,cases,738,province_row_ituri,NA,NA,NA
31,cases_nordkivu,cases,67,province_row_nordkivu,NA,NA,NA
31,cases_sudkivu,cases,80,province_row_sudkivu,NA,NA,NA
31,deaths_ituri,deaths,828,province_row_ituri,NA,NA,NA
31,deaths_nordkivu,deaths,212,province_row_nordkivu,NA,NA,NA
31,deaths_sudkivu,deaths,80,province_row_sudkivu,NA,NA,NA
31,hz_affected_ituri,geography,20,hz_affected_ituri,NA,NA,NA
31,hz_affected_national,geography,31,total_row_cases_deaths_cfr_hz,NA,NA,NA
31,hz_affected_nordkivu,geography,10,hz_affected_nordkivu,NA,NA,NA
31,hz_affected_sudkivu,geography,1,hz_affected_sudkivu,NA,NA,NA
31,samples_positive,laboratory,5,narr_samples_positive,NA,NA,NA
32,alerts_reported,surveillance,276,tbl_alerts_reported,NA,NA,NA
32,alerts_validated,surveillance,7,tbl_alerts_validated,NA,NA,NA
32,case_fatality_ratio,deaths,23.4,total_row_cases_deaths_cfr_hz,NA,NA,NA
32,cases_ituri,cases,767,province_row_ituri,NA,NA,NA
32,cases_nordkivu,cases,67,province_row_nordkivu,NA,NA,NA
32,cases_sudkivu,cases,80,province_row_sudkivu,NA,NA,NA
32,deaths_ituri,deaths,208,province_row_ituri,NA,NA,NA
32,deaths_nordkivu,deaths,187,province_row_nordkivu,NA,NA,NA
32,deaths_sudkivu,deaths,74,province_row_sudkivu,NA,NA,NA
32,hz_affected_ituri,geography,20,hz_affected_ituri,NA,NA,NA
32,hz_affected_national,geography,31,total_row_cases_deaths_cfr_hz,NA,NA,NA
32,hz_affected_nordkivu,geography,10,hz_affected_nordkivu,NA,NA,NA
32,hz_affected_sudkivu,geography,1,hz_affected_sudkivu,NA,NA,NA
33,alerts_reported,surveillance,391,tbl_alerts_reported,NA,NA,NA
33,alerts_validated,surveillance,4,tbl_alerts_validated,NA,NA,NA
33,case_fatality_ratio,deaths,23.1,total_row_cases_deaths_cfr_hz,NA,NA,NA
33,cases_ituri,cases,799,province_row_ituri,NA,NA,NA
33,cases_nordkivu,cases,1,province_row_nordkivu,NA,NA,NA
33,cases_sudkivu,cases,80,province_row_sudkivu,NA,NA,NA
